,City,Cases,Case_rate,Deaths,Death_rate,Number_of_restaurants,Population,Restaurants_per1k
195,TOLUCA LAKE,108.0,1241.0,0,0,20.0,8703.0,2.298058140870964
198,TUJUNGA,527.0,1895.0,14,50,26.0,27810.0,0.9349154980222941
201,VALLEY GLEN,680.0,2265.0,21,70,4.0,30022.0,0.13323562720671508
202,VALLEY VILLAGE,536.0,2168.0,25,101,27.0,24723.0,1.0921004732435384
203,VAN NUYS,3076.0,3301.0,93,100,249.0,93184.0,2.672132554945055
204,VENICE,299.0,882.0,3,9,90.0,33900.0,2.6548672566371683
214,WEST HILLS,550.0,1357.0,30,74,29.0,40531.0,0.7155017147368681
217,WESTCHESTER,426.0,826.0,15,29,8.0,51574.0,0.15511691937798114
221,WILMINGTON,1807.0,3199.0,24,42,55.0,56486.0,0.973692596395567
223,WINNETKA,1278.0,2468.0,20,39,25.0,51783.0,0.48278392522642566
224,WOODLAND HILLS,941.0,1383.0,34,50,127.0,68040.0,1.866549088771311
258,EL MONTE,6.0,4138.0,0,0,1.0,145.0,6.896551724137931
265,HAWTHORNE,60.0,2387.0,0,0,2.0,2514.0,0.7955449482895784
273,LAKE HUGHES,4.0,599.0,0,0,1.0,668.0,1.4970059880239521
279,LITTLEROCK,85.0,2114.0,1,25,1.0,4021.0,0.24869435463814973
283,MARINA DEL REY,72.0,765.0,1,11,49.0,9412.0,5.2061198470038255
291,PALMDALE,21.0,2494.0,0,0,2.0,842.0,2.375296912114014
303,ROWLAND HEIGHTS,691.0,1354.0,15,29,2.0,51034.0,0.03918955990124231
318,STEVENSON RANCH,171.0,816.0,2,10,1.0,20956.0,0.0477190303493033
323,VALENCIA,47.0,1530.0,1,33,3.0,3072.0,0.9765625
337,WHITTIER,70.0,1850.0,3,79,3.0,3784.0,0.7928118393234672
