City,Cases,Case_rate,Deaths,Death_rate
University Hills,53,1546,1,29
University Park,1178,4291,20,73
Valley Glen,680,2265,21,70
Valley Village,536,2168,25,101
Van Nuys,3076,3301,93,100
Venice,299,882,3,9
Vermont Knolls,722,4198,16,93
Vermont Square,346,4519,4,52
Vermont Vista,1932,4691,26,63
Vernon Central,3033,5833,43,83
Victoria Park,219,2607,4,48
View Heights,46,1245,3,81
Watts,1977,4633,32,75
Wellington Square,126,2564,2,41
West Adams,903,3268,41,148
West Hills,550,1357,30,74
West Los Angeles,508,1350,15,40
West Vernon,2391,4457,51,95
Westchester,426,826,15,29
Westlake,2418,4074,144,243
Westwood,402,743,6,11
Wholesale District,2421,6701,27,75
Wilmington,1807,3199,24,42
Wilshire Center,1119,2230,37,74
Winnetka,1278,2468,20,39
Woodland Hills,941,1383,34,50
Acton,73,916,2,25
Agua Dulce,28,673,0,0
Altadena,730,1674,15,34
Anaverde,16,1061,0,0
Angeles National Forest,6,482,0,0
Arcadia,94,1178,3,38
Athens-Westmont,1557,3669,27,64
Athens Village,245,5003,10,204
Avocado Heights,300,4428,4,59
Azusa,521,3272,4,25
Bassett,668,4508,9,61
Bouquet Canyon,9,839,1,93
Bradbury,4,3704,1,926
Canyon Country,143,1850,0,0
Castaic,2091,7690,4,15
Cerritos,18,3066,0,0
Charter Oak,0,0,0,0
Claremont,24,3419,3,427
Covina,459,2729,7,42
Covina (Charter Oak),318,2419,2,15
Del Aire,76,1730,2,46
Del Rey,3,943,0,0
Del Sur,19,787,1,41
Desert View Highlands,49,1966,1,40
Duarte,154,3478,4,90
East Covina,4,1216,0,0
East La Mirada,102,1927,1,19
East Lancaster,0,0,0,0
East Los Angeles,6419,5124,105,84
East Pasadena,83,1296,2,31
East Rancho Dominguez,690,4507,16,105
East Whittier,92,1734,0,0
El Camino Village,148,1684,3,34
El Monte,6,4138,0,0
Elizabeth Lake,7,421,0,0
Florence-Firestone,3479,5377,54,83
Franklin Canyon,0,0,0,0
Glendora,13,1970,0,0
Hacienda Heights,1061,1897,17,30
Harbor Gateway,0,0,0,0
Hawthorne,60,2387,0,0
Hi Vista,8,729,0,0
Kagel/Lopez Canyons,39,2762,1,71
La Crescenta-Montrose,206,1040,2,10
La Habra Heights,4,592,0,0
La Rambla,78,3759,12,578
La Verne,34,1667,0,0
Ladera Heights,99,1400,3,42
Lake Hughes,4,599,0,0
Lake Los Angeles,241,1855,4,31
Lake Manor,24,1461,0,0
Lakewood,0,0,0,0
Lennox,708,3141,6,27
Leona Valley,20,1142,0,0
Littlerock,85,2114,1,25
Littlerock/Juniper Hills,11,848,0,0
Littlerock/Pearblossom,94,2634,0,0
Llano,3,342,0,0
Marina del Rey,72,765,1,11
Miracle Mile,0,0,0,0
Monrovia,82,2113,0,0
Newhall,14,6364,0,0
North Lancaster,19,1586,0,0
North Whittier,216,2584,10,120
Northeast San Gabriel,348,1448,8,33
Padua Hills,3,1395,0,0
Palmdale,21,2494,0,0
Palos Verdes Peninsula,3,483,0,0
Pearblossom/Llano,24,1227,1,51
Pellissier Village,31,5008,0,0
Placerita Canyon,0,0,0,0
Pomona,16,826,1,52
Quartz Hill,183,1418,11,85
Rancho Dominguez,74,2781,2,75
Roosevelt,11,1182,0,0
Rosewood,32,2488,0,0
Rosewood/East Gardena,30,2515,1,84
Rosewood/West Rancho Dominguez,110,3273,0,0
Rowland Heights,691,1354,15,29
San Clemente Island,0,0,0,0
San Francisquito Canyon/Bouquet Canyon,0,0,0,0
San Jose Hills,749,3704,14,69
San Pasqual,10,491,0,0
Sand Canyon,7,2273,0,0
Santa Catalina Island,25,9363,0,0
Santa Monica Mountains*,120,644,1,5
Saugus,28,18065,0,0
Saugus/Canyon Country,4,1124,0,0
South Antelope Valley,6,1319,0,0
South El Monte,91,5070,0,0
South San Gabriel,175,1978,5,57
South Whittier,1838,3104,34,57
Southeast Antelope Valley,14,1793,0,0
Stevenson Ranch,171,816,2,10
Sun Village,166,2750,2,33
Sunrise Village,53,4090,0,0
Twin Lakes/Oat Mountain,12,724,1,60
Val Verde,78,2357,1,30
Valencia,47,1530,1,33
Valinda,761,3256,9,39
View Park/Windsor Hills,145,1246,3,26
Walnut Park,722,4473,13,81
West Antelope Valley,5,331,0,0
West Carson,449,2033,36,163
West Chatsworth,0,0,0,0
West LA,44,4622,2,210
West Puente Valley,400,4067,3,31
West Rancho Dominguez,22,1619,3,221
West Whittier/Los Nietos,995,3695,15,56
Westfield/Academy Hills,8,615,0,0
Westhills,9,1073,0,0
White Fence Farms,45,1222,0,0
Whittier,70,1850,3,79
Whittier Narrows,3,25000,0,0
Willowbrook,1481,4242,21,60
Wiseburn,129,2140,1,17
